RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31
102001,0,United States,Country,"",0.1188,0.1111,0.1228,0.1316,0.1476,0.1556,0.1704,0.1768,0.1737,0.181,0.144,0.1,0.146,0.129,0.139,0.1491,0.1628,0.1671,0.1736,0.1708,0.1781,0.1736,0.1337,0.0991,0.1323,0.1171,0.1143,0.0987,0.1164,0.1227,0.1229,0.1219
394913,1,"New York, NY",Msa,NY,0.1043,0.093,0.1032,0.1295,0.1421,0.1469,0.1594,0.1449,0.1653,0.1634,0.1281,0.0805,0.1276,0.1158,0.1345,0.146,0.1677,0.1744,0.1633,0.1415,0.1681,0.163,0.1171,0.0731,0.1188,0.1064,0.0845,0.0488,0.0765,0.098,0.1251,0.1211
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,0.1223,0.1155,0.1322,0.1421,0.167,0.1766,0.1972,0.2187,0.2205,0.2272,0.1822,0.114,0.1761,0.1524,0.1599,0.1693,0.1825,0.1912,0.1983,0.1961,0.1913,0.1785,0.1364,0.0839,0.115,0.1021,0.1056,0.1061,0.1255,0.1325,0.1323,0.1299
394463,3,"Chicago, IL",Msa,IL,0.1633,0.1508,0.1724,0.2101,0.2348,0.2459,0.2675,0.2591,0.272,0.2609,0.1855,0.12,0.1748,0.1705,0.1968,0.2253,0.2568,0.2706,0.2831,0.2697,0.2898,0.2644,0.1815,0.1315,0.1817,0.1788,0.1746,0.152,0.1815,0.2028,0.2197,0.2198
394514,4,"Dallas-Fort Worth, TX",Msa,TX,0.1525,0.1323,0.1531,0.1629,0.1971,0.2206,0.247,0.2528,0.2332,0.2501,0.1995,0.1438,0.1896,0.1702,0.1829,0.1968,0.2188,0.2296,0.2515,0.2495,0.2506,0.2392,0.1948,0.1475,0.1864,0.1666,0.162,0.1552,0.1669,0.1731,0.1673,0.1654
394974,5,"Philadelphia, PA",Msa,PA,0.1471,0.1358,0.1403,0.1432,0.18,0.1939,0.2024,0.1945,0.2095,0.2272,0.1803,0.1256,0.174,0.1522,0.1611,0.185,0.1983,0.2011,0.1825,0.179,0.2146,0.21,0.1696,0.1187,0.1543,0.1409,0.1203,0.0773,0.1132,0.1463,0.1445,0.1381
394692,6,"Houston, TX",Msa,TX,0.1603,0.1432,0.1594,0.1857,0.2056,0.2182,0.2415,0.2406,0.2205,0.2313,0.178,0.121,0.1812,0.1744,0.1792,0.194,0.2189,0.2309,0.2495,0.2398,0.2365,0.2328,0.1852,0.143,0.1899,0.1701,0.1739,0.1545,0.1681,0.1812,0.1831,0.1801
395209,7,"Washington, DC",Msa,DC,0.1091,0.1046,0.1137,0.1225,0.1683,0.1924,0.204,0.2127,0.2164,0.2317,0.1659,0.121,0.1411,0.1221,0.1317,0.1524,0.1785,0.1886,0.1846,0.1851,0.1993,0.2008,0.1548,0.1076,0.1193,0.1024,0.1146,0.1214,0.124,0.1237,0.1235,0.1206
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,0.1554,0.1476,0.157,0.1537,0.145,0.1444,0.1446,0.1471,0.1469,0.1662,0.1525,0.1234,0.1829,0.1689,0.1695,0.162,0.1544,0.1454,0.14,0.1303,0.1437,0.1514,0.1343,0.1134,0.1587,0.1469,0.1259,0.0862,0.1082,0.1151,0.1132,0.1173
394347,9,"Atlanta, GA",Msa,GA,0.125,0.1166,0.1327,0.1413,0.1709,0.1757,0.1869,0.2004,0.1941,0.2067,0.1688,0.1283,0.1749,0.1392,0.1665,0.1821,0.1987,0.2012,0.2047,0.2034,0.2184,0.2124,0.1692,0.134,0.1607,0.1317,0.1348,0.1368,0.1494,0.1486,0.1423,0.1323
394404,10,"Boston, MA",Msa,MA,0.1017,0.0909,0.0964,0.12,0.1513,0.1779,0.1752,0.1726,0.2121,0.218,0.1712,0.1001,0.134,0.1148,0.1187,0.1458,0.1734,0.1897,0.1795,0.1693,0.2174,0.2163,0.152,0.0928,0.1066,0.0931,0.1002,0.0946,0.1237,0.133,0.1299,0.1344
395057,11,"San Francisco, CA",Msa,CA,0.0623,0.0566,0.0679,0.0708,0.1006,0.1001,0.1213,0.1452,0.1597,0.1914,0.1494,0.0978,0.1123,0.1022,0.1114,0.1239,0.14,0.1573,0.1583,0.169,0.1691,0.1811,0.1385,0.0772,0.0739,0.0734,0.0782,0.08,0.1157,0.1194,0.1272,0.1244
394532,12,"Detroit, MI",Msa,MI,0.147,0.1245,0.1341,0.1389,0.1743,0.1855,0.2166,0.2517,0.2528,0.2495,0.2025,0.1389,0.1775,0.1485,0.1612,0.1765,0.2006,0.2306,0.2515,0.2585,0.2576,0.2485,0.1932,0.1387,0.1684,0.1387,0.1303,0.0544,0.1391,0.1674,0.1678,0.1669
395025,13,"Riverside, CA",Msa,CA,0.144,0.1407,0.1612,0.1614,0.163,0.1785,0.1954,0.2173,0.2072,0.2126,0.1822,0.1254,0.1858,0.1608,0.1701,0.1668,0.1786,0.1829,0.1961,0.1992,0.1929,0.1878,0.1574,0.1145,0.1547,0.139,0.1317,0.11,0.1197,0.1067,0.095,0.0869
394976,14,"Phoenix, AZ",Msa,AZ,0.2106,0.1876,0.1972,0.1971,0.2054,0.1929,0.2143,0.2367,0.2357,0.2506,0.2322,0.1769,0.2641,0.2378,0.2302,0.2283,0.213,0.1944,0.1938,0.1842,0.1997,0.2136,0.1906,0.153,0.1786,0.1504,0.1574,0.1739,0.1637,0.1278,0.1103,0.1134
395078,15,"Seattle, WA",Msa,WA,0.0859,0.077,0.0748,0.0891,0.1263,0.1637,0.1964,0.2403,0.2582,0.2771,0.2031,0.1231,0.1681,0.111,0.129,0.1451,0.1737,0.2024,0.2196,0.2221,0.2215,0.2207,0.1522,0.1019,0.0938,0.0706,0.09,0.132,0.1461,0.136,0.1418,0.1426
394865,16,"Minneapolis-St Paul, MN",Msa,MN,0.0935,0.0913,0.1061,0.1082,0.1428,0.1616,0.194,0.2038,0.2183,0.2246,0.1657,0.0945,0.1208,0.0922,0.1067,0.1268,0.1484,0.1657,0.1949,0.1946,0.2353,0.2283,0.163,0.1038,0.1332,0.0966,0.1225,0.1299,0.1329,0.1399,0.128,0.1281
395056,17,"San Diego, CA",Msa,CA,0.1609,0.1449,0.1733,0.1889,0.2173,0.2211,0.2433,0.2758,0.2613,0.2871,0.2354,0.143,0.2043,0.1787,0.1845,0.1801,0.2121,0.2239,0.2207,0.2307,0.2173,0.2103,0.1603,0.1118,0.1309,0.1243,0.1287,0.1467,0.1486,0.1353,0.1335,0.1366
395121,18,"St. Louis, MO",Msa,MO,0.1554,0.141,0.1554,0.1684,0.1883,0.2072,0.225,0.2191,0.2207,0.2272,0.1721,0.1172,0.1637,0.1386,0.1454,0.1715,0.1884,0.1965,0.205,0.2137,0.2094,0.2093,0.1568,0.1157,0.1413,0.1221,0.116,0.1187,0.1402,0.1533,0.1504,0.1496
395148,19,"Tampa, FL",Msa,FL,0.2016,0.2059,0.2035,0.1947,0.2088,0.2192,0.2303,0.2413,0.2304,0.2439,0.2186,0.1692,0.2418,0.2309,0.2233,0.2173,0.2269,0.2212,0.2169,0.2133,0.2312,0.2357,0.203,0.1686,0.2194,0.1968,0.1943,0.1598,0.1759,0.1724,0.1667,0.1671
394358,20,"Baltimore, MD",Msa,MD,0.1435,0.1339,0.146,0.1523,0.1989,0.218,0.2304,0.2323,0.2324,0.2537,0.1981,0.144,0.1814,0.153,0.1716,0.2006,0.2233,0.2261,0.2156,0.2241,0.2388,0.2311,0.18,0.1396,0.1651,0.1498,0.1455,0.1374,0.1554,0.1608,0.1513,0.1355
394530,21,"Denver, CO",Msa,CO,0.1139,0.115,0.1369,0.1595,0.1905,0.2228,0.2546,0.2703,0.2702,0.3065,0.225,0.1428,0.1858,0.165,0.1767,0.2116,0.2414,0.2661,0.2885,0.2822,0.2942,0.2851,0.2122,0.149,0.1642,0.1254,0.1349,0.1254,0.1988,0.2122,0.2067,0.1845
394982,22,"Pittsburgh, PA",Msa,PA,0.1379,0.1223,0.1441,0.1573,0.1819,0.1822,0.2011,0.2097,0.2097,0.2105,0.1672,0.0974,0.1538,0.1299,0.1537,0.1698,0.1893,0.2064,0.23,0.2155,0.2324,0.2271,0.1635,0.1074,0.1614,0.139,0.1216,0.0367,0.1175,0.1735,0.1861,0.1916
